STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,GD1,GE1,GF1,MA1,REM,source_file
72055399999,2024-01-01T00:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0031,1","01524,1,9,N","016093,1,9,9","+0056,1","-0022,1","10164,1","4,99,1,+01524,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10166,1,99999,9",MET088METAR KJRB 010056Z AUTO 26006KT 10SM OVC050 06/M02 A3002 RMK AO2 SLP164 T00561022 PNO $=,72055399999.csv
72055399999,2024-01-01T01:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0026,1","01524,1,9,N","016093,1,9,9","+0056,1","-0017,1","10164,1","4,99,1,+01524,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10166,1,99999,9",MET088METAR KJRB 010156Z AUTO 26005KT 10SM OVC050 06/M02 A3002 RMK AO2 SLP164 T00561017 PNO $=,72055399999.csv
72055399999,2024-01-01T02:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"250,1,N,0026,1","01463,1,9,N","016093,1,9,9","+0056,1","-0011,1","10164,1","4,99,1,+01463,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01463,1,99,9,99,9","10166,1,99999,9",MET100METAR KJRB 010256Z AUTO 25005KT 10SM OVC048 06/M01 A3002 RMK AO2 SLP164 6//// T00561011 56001 PNO $=,72055399999.csv
72055399999,2024-01-01T03:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0026,1","01463,1,9,N","016093,1,9,9","+0056,1","-0006,1","10165,1","4,99,1,+01463,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01463,1,99,9,99,9","10166,1,99999,9",MET098METAR KJRB 010356Z AUTO 26005KT 10SM OVC048 06/M01 A3002 RMK AO2 SLP165 T00561006 400670039 PNO $=,72055399999.csv
72055399999,2024-01-01T04:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"250,1,N,0041,1","01402,1,9,N","016093,1,9,9","+0056,1","-0006,1","10167,1","3,99,1,+01402,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01402,1,99,9,99,9","10166,1,99999,9",MET095METAR KJRB 010456Z AUTO 25008KT 10SM BKN046 OVC060 06/M01 A3002 RMK AO2 SLP167 T00561006 PNO $=,72055399999.csv
72055399999,2024-01-01T05:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0041,1","01372,1,9,N","016093,1,9,9","+0056,1","-0006,1","10164,1","4,99,1,+01372,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10166,1,99999,9",MET112METAR KJRB 010556Z AUTO 26008KT 10SM OVC045 06/M01 A3002 RMK AO2 SLP164 6//// T00561006 10061 20056 50000 PNO $=,72055399999.csv
72055399999,2024-01-01T06:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"270,1,N,0031,1","01189,1,9,N","016093,1,9,9","+0056,1","-0006,1","10162,1","4,99,1,+01189,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01189,1,99,9,99,9","10163,1,99999,9",MET088METAR KJRB 010656Z AUTO 27006KT 10SM OVC039 06/M01 A3001 RMK AO2 SLP162 T00561006 PNO $=,72055399999.csv
72055399999,2024-01-01T07:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0031,1","01372,1,9,N","016093,1,9,9","+0050,1","-0006,1","10162,1","4,99,1,+01372,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01372,1,99,9,99,9","10163,1,99999,9",MET088METAR KJRB 010756Z AUTO 26006KT 10SM OVC045 05/M01 A3001 RMK AO2 SLP162 T00501006 PNO $=,72055399999.csv
72055399999,2024-01-01T08:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"250,1,N,0021,1","03353,1,9,N","016093,1,9,9","+0050,1","-0011,1","10158,1","2,99,1,+01250,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01250,1,99,9,99,9","10159,1,99999,9",MET107METAR KJRB 010856Z AUTO 25004KT 10SM SCT041 OVC110 05/M01 A3000 RMK AO2 SLP158 6//// T00501011 58005 PNO $=,72055399999.csv
72055399999,2024-01-01T09:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"250,1,N,0021,1","01250,1,9,N","016093,1,9,9","+0050,1","-0006,1","10158,1","3,99,1,+01250,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01250,1,99,9,99,9","10159,1,99999,9",MET102METAR KJRB 010956Z AUTO 25004KT 10SM BKN041 BKN055 OVC085 05/M01 A3000 RMK AO2 SLP158 T00501006 PNO $=,72055399999.csv
72055399999,2024-01-01T10:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"260,1,N,0021,1","01524,1,9,N","016093,1,9,9","+0050,1","-0006,1","10163,1","1,99,1,+00823,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00823,1,99,9,99,9","10163,1,99999,9",MET111METAR KJRB 011056Z AUTO 26004KT 10SM FEW027 SCT034 OVC050 05/M01 A3001 RMK AO2 RAB32E51 SLP163 T00501006 PNO $=,72055399999.csv
72055399999,2024-01-01T11:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"999,9,V,0015,1","00914,1,9,N","016093,1,9,9","+0044,1","+0006,1","10167,1","3,99,1,+00914,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10169,1,99999,9",MET141METAR KJRB 011156Z AUTO VRB03KT 10SM -RA BKN030 BKN038 OVC050 04/01 A3003 RMK AO2 RAB28 SLP167 6//// 7//// T00440006 10056 20044 53009 PNO $=,72055399999.csv
72055399999,2024-01-01T12:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"999,9,C,0000,1","00914,1,9,N","016093,1,9,9","+0050,1","+0017,1","10171,1","4,99,1,+00914,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00914,1,99,9,99,9","10173,1,99999,9",MET091METAR KJRB 011256Z AUTO 00000KT 10SM -RA OVC030 05/02 A3004 RMK AO2 SLP171 T00500017 PNO $=,72055399999.csv
72055399999,2024-01-01T13:16:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-16,99999,V020,"260,1,N,0015,1","00853,1,9,N","016093,1,9,9","+0040,1","+0010,1","99999,9","4,99,1,+00853,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00853,1,99,9,99,9","10173,1,99999,9",MET074SPECI KJRB 011316Z AUTO 26003KT 10SM -RA OVC028 04/01 A3004 RMK AO2 PNO $=,72055399999.csv
72055399999,2024-01-01T13:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"999,9,V,0026,1","00792,1,9,N","016093,1,9,9","+0050,1","+0011,1","10174,1","4,99,1,+00792,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00792,1,99,9,99,9","10176,1,99999,9",MET093METAR KJRB 011356Z AUTO VRB05KT 10SM OVC026 05/01 A3005 RMK AO2 RAE30 SLP174 T00500011 PNO $=,72055399999.csv
72055399999,2024-01-01T14:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"999,9,V,0021,1","01524,1,9,N","016093,1,9,9","+0056,1","+0017,1","10176,1","2,99,1,+00549,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00549,1,99,9,99,9","10176,1,99999,9",MET113METAR KJRB 011456Z AUTO VRB04KT 10SM SCT018 BKN050 OVC090 06/02 A3005 RMK AO2 SLP176 6//// T00560017 51008 PNO $=,72055399999.csv
72055399999,2024-01-01T15:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"290,1,N,0051,1","22000,5,9,N","016093,1,9,9","+0067,1","+0017,1","10173,1","2,99,1,+00701,1,9","9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,00701,1,99,9,99,9","10173,1,99999,9",MET108METAR KJRB 011556Z AUTO 29010G30KT 10SM SCT023 07/02 A3004 RMK AO2 PK WND 27035/1527 SLP173 T00670017 PNO $=,72055399999.csv
72055399999,2024-01-01T16:11:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-16,99999,V020,"999,9,V,0026,1","00701,1,9,N","016093,1,9,9","+0070,1","+0010,1","99999,9","3,99,1,+00701,1,9","9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00701,1,99,9,99,9","10173,1,99999,9",MET088SPECI KJRB 011611Z AUTO VRB05KT 10SM BKN023 07/01 A3004 RMK AO2 PK WND 26033/1558 PNO $=,72055399999.csv
72055399999,2024-01-01T16:40:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-16,99999,V020,"999,9,C,0000,1","22000,5,9,N","016093,1,9,9","+0070,1","+0010,1","99999,9","1,99,1,+00762,1,9","9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00762,1,99,9,99,9","10169,1,99999,9",MET088SPECI KJRB 011640Z AUTO 00000KT 10SM FEW025 07/01 A3003 RMK AO2 PK WND 30035/1623 PNO $=,72055399999.csv
72055399999,2024-01-01T16:56:00,4,40.701214,-74.009028,2.13,"PORT AUTH DOWNTN MANHATTAN WALL ST HEL, NY US",FM-15,99999,V020,"999,9,V,0021,1","22000,5,9,N","016093,1,9,9","+0078,1","+0006,1","10166,1","2,99,1,+01829,1,9","9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01829,1,99,9,99,9","10166,1,99999,9",MET105METAR KJRB 011656Z AUTO VRB04KT 10SM SCT060 08/01 A3002 RMK AO2 PK WND 30035/1623 SLP166 T00780006 PNO $=,72055399999.csv
